Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
34,Male,Master's,Divorced,92843.33533728005,,32623.0,Personal,Employed,15,Good,0.2431071181152353,37783.0,0.0,Moonchester,MH,Bangladesh,3.0,1,Low
53,Non-binary,Master's,Widowed,132701.5647414581,,17915.0,Home,Self-employed,7,Excellent,0.2043285538859367,219289.0,3.0,Stewartland,IA,Jersey,4.0,1,Low
53,Male,PhD,Divorced,144737.04357176248,801.0,20173.0,Auto,Self-employed,12,Excellent,0.2016959838685933,195572.0,4.0,Conwaymouth,NM,Singapore,0.0,2,Low
60,Female,Master's,Married,,697.0,38923.0,Auto,Employed,5,Fair,0.4588458861309124,128178.0,2.0,Stephanieland,MD,Taiwan,4.0,0,Low
34,Female,PhD,Divorced,,,16408.0,Home,Unemployed,17,Excellent,0.1221033640822903,135677.0,,Hendricksbury,NJ,Sierra Leone,0.0,0,Low
18,Non-binary,PhD,Divorced,92122.48081423827,829.0,46612.0,Auto,Employed,1,Fair,0.5678119181113854,284107.0,3.0,South Bryanside,NH,Malta,0.0,0,Low
35,Female,Associate's,Single,34730.88256874966,674.0,,Home,Self-employed,17,Good,0.5083392132808527,74438.0,3.0,East Jamiechester,TN,Uzbekistan,3.0,0,Low
28,Non-binary,PhD,Married,77096.439475508,776.0,,Auto,Unemployed,1,Excellent,0.3643487483897496,211084.0,,Laurenville,ID,Chad,0.0,2,Low
25,Male,Associate's,Divorced,,753.0,38845.0,Auto,Employed,14,Excellent,0.1346357820085463,232815.0,3.0,Sallytown,UT,Montenegro,3.0,0,Low
68,Female,Master's,Single,101492.32871811853,692.0,15951.0,Auto,Self-employed,12,Fair,0.3147893412404647,144979.0,,New Maria,ID,Ghana,3.0,1,Low
55,Non-binary,Master's,Divorced,123326.88219786675,642.0,48426.0,Personal,Self-employed,12,Good,0.3874277446256831,126894.0,3.0,Steelehaven,IL,Brunei Darussalam,0.0,1,Low
40,Non-binary,PhD,Single,36452.141514763265,748.0,13770.0,Home,Unemployed,6,Good,0.4875253101160951,223038.0,4.0,Kellymouth,IL,Botswana,4.0,0,Low
35,Non-binary,Associate's,Single,80088.16066306666,,33959.0,Personal,Unemployed,7,Fair,0.3064492000153646,55840.0,0.0,Alexishaven,HI,China,3.0,2,Low
47,Female,PhD,Married,,714.0,34281.0,Home,Self-employed,12,Fair,0.573092240191642,199243.0,3.0,East Meganville,NC,Malta,3.0,0,Low
33,Non-binary,Associate's,Divorced,,767.0,7319.0,Home,Unemployed,1,Fair,0.4174438651057908,238284.0,4.0,Port Haydenland,HI,Aruba,2.0,1,Low
65,Male,PhD,Married,119522.91733350683,655.0,32124.0,Home,Employed,2,Excellent,0.5633254858992144,,4.0,Jenniferport,ID,Uruguay,,0,Low
22,Female,Master's,Divorced,52654.03548487629,730.0,27029.0,Business,Self-employed,17,Fair,0.104369709124303,166714.0,0.0,Lindaview,OK,Kenya,2.0,0,Low
32,Male,PhD,Divorced,,764.0,31291.0,Auto,Employed,12,Fair,0.1856843455352843,243900.0,4.0,Lake Tammyberg,MS,Jersey,4.0,2,Low
61,Male,Associate's,Divorced,77675.48635365102,724.0,45583.0,Personal,Employed,7,Excellent,0.111257279804596,32208.0,2.0,Tonyaton,AL,Niue,4.0,0,Low
22,Non-binary,Associate's,Single,70919.31521189694,712.0,18432.0,Personal,Employed,18,Excellent,0.1341288167999074,145527.0,1.0,Martinezmouth,IA,Poland,1.0,0,Low
18,Female,Associate's,Divorced,,,14515.0,Business,Unemployed,1,Excellent,0.2961138340758297,41906.0,1.0,East Carolynburgh,LA,Canada,,0,Low
32,Female,PhD,Widowed,62092.89337793767,832.0,16677.0,Auto,Unemployed,11,Fair,0.2273819025170357,,4.0,Craneland,AZ,Portugal,,1,Low
23,Female,PhD,Widowed,99140.21269256917,747.0,6331.0,Home,Employed,17,Excellent,0.1495405785575486,65227.0,0.0,Gloverstad,DE,Zambia,3.0,0,Low
65,Female,PhD,Married,134471.9701852405,767.0,41806.0,Business,Unemployed,9,Excellent,0.4884333284509057,110057.0,2.0,West Tylermouth,MD,Georgia,4.0,0,Low
67,Non-binary,Master's,Single,67004.05997026626,,,Home,Self-employed,16,Good,0.4347006057646811,191626.0,,Kerrishire,MP,Sierra Leone,2.0,1,Low
61,Male,PhD,Widowed,114028.65150504075,,,Auto,Employed,8,Excellent,0.2838101399453308,25738.0,4.0,South Ruthberg,VI,Guam,2.0,1,Low
28,Non-binary,PhD,Single,,691.0,9819.0,Personal,Employed,5,Excellent,0.3110905973202298,222379.0,2.0,Kevinside,MS,French Guiana,0.0,1,Low
52,Non-binary,Master's,Married,131065.03361318512,806.0,45431.0,Home,Employed,2,Excellent,0.4182716145492574,65753.0,2.0,Jamesmouth,NY,Colombia,3.0,2,Low
65,Male,Associate's,Widowed,74964.63006507444,665.0,40030.0,Personal,Employed,4,Fair,0.488039859622138,200753.0,2.0,Jamesview,SC,Grenada,2.0,2,Low
55,Female,PhD,Married,42607.73242583722,,14766.0,Personal,Employed,8,Fair,0.1779089537202267,,1.0,South Mollyhaven,OK,Czech Republic,,2,Low
26,Male,PhD,Widowed,,693.0,,Personal,Employed,14,Fair,0.3164271990276456,156321.0,3.0,West Aaron,KS,Samoa,0.0,0,Low
28,Male,PhD,Single,,809.0,43187.0,Business,Employed,16,Excellent,0.4541068824142391,171389.0,3.0,Riosmouth,AZ,Benin,3.0,1,Low
38,Male,PhD,Married,,,30929.0,Auto,Self-employed,1,Excellent,0.2085190415398039,287533.0,1.0,Thomasberg,NV,Falkland Islands (Malvinas),4.0,2,Low
51,Male,PhD,Married,69775.84461207488,826.0,46664.0,Business,Employed,11,Excellent,0.3791264924337794,,4.0,South Laura,CO,San Marino,4.0,1,Low
44,Female,Associate's,Married,96411.27481098527,701.0,29796.0,Auto,Unemployed,4,Good,0.1681695836432277,149758.0,0.0,New Joseph,IL,Pitcairn Islands,,0,Low
20,Male,Master's,Divorced,100157.36053633592,685.0,7162.0,Personal,Self-employed,6,Excellent,0.5468044429256165,,1.0,Port Caseyburgh,OK,Christmas Island,2.0,0,Low
61,Non-binary,Master's,Married,129290.47344608925,,16736.0,Personal,Unemployed,0,Excellent,0.2694595177962748,113304.0,,Maryberg,TX,Bosnia and Herzegovina,3.0,0,Low
36,Non-binary,PhD,Divorced,142764.76720247962,704.0,23710.0,Personal,Employed,13,Excellent,0.4155737047088992,91365.0,0.0,Port Carrie,OK,Brazil,,1,Low
44,Female,PhD,Divorced,,803.0,47342.0,Auto,Self-employed,16,Excellent,0.3527045142717883,226002.0,3.0,North Scottside,NE,Czech Republic,3.0,2,Low
57,Female,PhD,Single,115795.45141036194,641.0,9274.0,Home,Unemployed,10,Excellent,0.1338743230497406,104422.0,3.0,Jonesfurt,DE,Uruguay,0.0,0,Low
54,Male,PhD,Married,96942.36454406928,665.0,12611.0,Personal,Employed,17,Fair,0.4704075209594488,241773.0,2.0,Fosterstad,MD,Sweden,0.0,2,Low
23,Male,PhD,Single,160327.90130335616,651.0,,Business,Unemployed,16,Excellent,0.2782921925177963,239088.0,3.0,Johnsonfurt,PR,Germany,1.0,0,Low
19,Male,Master's,Single,43645.297353658185,,44766.0,Business,Employed,3,Excellent,0.2932642858925549,189989.0,1.0,Jakemouth,WY,Cote d'Ivoire,3.0,2,Low
31,Female,Master's,Single,53958.25947638985,737.0,,Home,Employed,7,Good,0.2968870652075646,72775.0,1.0,Tammybury,DC,Saudi Arabia,,1,Low
50,Male,PhD,Divorced,171572.2827400807,782.0,12087.0,Home,Unemployed,0,Fair,0.4044713233179386,115796.0,,Williamsburgh,WY,Niger,3.0,0,Low
41,Female,Associate's,Divorced,,694.0,29662.0,Personal,Unemployed,16,Excellent,0.5210132800876147,128615.0,4.0,North Jonathan,WY,Svalbard & Jan Mayen Islands,0.0,1,Low
41,Non-binary,Associate's,Single,81894.81954344656,722.0,,Auto,Employed,0,Excellent,0.382427228020409,97011.0,3.0,South Miranda,OH,Tokelau,0.0,0,Low
55,Female,Associate's,Married,36244.95855812244,759.0,46575.0,Home,Self-employed,17,Good,0.2735359818077765,170870.0,4.0,North Ryan,TN,Iran,1.0,0,Low
61,Non-binary,PhD,Widowed,29357.73146982271,796.0,21882.0,Auto,Self-employed,7,Good,0.2227332031637089,121171.0,4.0,Cassandrachester,WV,Djibouti,0.0,1,Low
48,Male,Associate's,Widowed,171719.8106615033,689.0,25286.0,Personal,Unemployed,7,Excellent,0.3659665760544737,63368.0,1.0,Wardton,UT,China,2.0,0,Low
66,Female,Master's,Single,150318.48887102737,799.0,35759.0,Auto,Employed,4,Fair,0.4572168280680981,290309.0,4.0,Port Paul,SD,Saint Helena,2.0,2,Low
34,Female,Associate's,Married,,757.0,,Personal,Unemployed,5,Fair,0.4949739666336751,64176.0,0.0,West Jennifer,OK,Saudi Arabia,3.0,1,Low
45,Non-binary,Master's,Divorced,113204.36494936878,741.0,19887.0,Business,Self-employed,6,Excellent,0.5910261747063597,,2.0,Anthonyborough,MH,Dominican Republic,1.0,1,Low
54,Male,Master's,Widowed,,791.0,5740.0,Home,Unemployed,16,Excellent,0.4972633864991858,229756.0,3.0,Johnberg,MP,Kyrgyz Republic,3.0,2,Low
31,Female,Master's,Married,83974.19736532091,620.0,6571.0,Auto,Self-employed,15,Excellent,0.3584753813127457,56937.0,1.0,Port Keith,VT,Sweden,0.0,0,Low
28,Non-binary,PhD,Married,121490.21135054772,815.0,,Business,Self-employed,13,Excellent,0.3503817868856329,265876.0,,South Michaelmouth,WY,Senegal,4.0,1,Low
40,Non-binary,Master's,Single,90893.45940678094,,39091.0,Home,Unemployed,18,Excellent,0.4135617074350255,23746.0,4.0,Kleinbury,TN,Cape Verde,0.0,0,Low
36,Female,Associate's,Single,45678.063840135044,685.0,47629.0,Personal,Employed,10,Excellent,0.5493945618061649,159077.0,2.0,South Gregory,MP,Albania,0.0,1,Low
29,Female,PhD,Widowed,,797.0,28318.0,Home,Self-employed,0,Fair,0.567393302630209,223966.0,3.0,East Jordanbury,MP,Cape Verde,,0,Low
64,Female,PhD,Divorced,54527.29279437425,755.0,,Personal,Self-employed,6,Good,0.4195482717592944,24836.0,0.0,Michelleburgh,OK,French Southern Territories,3.0,1,Low
45,Non-binary,PhD,Divorced,121074.92422567477,754.0,47459.0,Business,Unemployed,4,Excellent,0.1950466742103252,263004.0,1.0,Flemingbury,OK,Northern Mariana Islands,0.0,1,Low
58,Non-binary,Master's,Divorced,108137.02924896344,763.0,44683.0,Personal,Self-employed,15,Excellent,0.2051393703706806,43986.0,0.0,Munozmouth,AK,Mali,0.0,1,Low
30,Non-binary,Associate's,Divorced,47195.76636495372,814.0,18878.0,Home,Self-employed,11,Fair,0.5263597285654573,150597.0,,Adamsport,WV,Christmas Island,1.0,1,Low
61,Non-binary,PhD,Divorced,79328.82812792451,625.0,45719.0,Auto,Employed,1,Fair,0.1075160344673541,,2.0,West Krista,LA,Faroe Islands,3.0,2,Low
25,Female,PhD,Widowed,144026.99614399075,704.0,,Personal,Self-employed,19,Good,0.3896495063730699,106602.0,4.0,Lake Brian,TX,Cote d'Ivoire,3.0,1,Low
50,Male,PhD,Single,108895.2075330266,,44876.0,Home,Unemployed,4,Excellent,0.5284008362869657,89374.0,3.0,South Walter,DC,Montenegro,1.0,2,Low
22,Male,Master's,Widowed,86446.42256459888,738.0,6492.0,Personal,Employed,4,Excellent,0.2925392265557105,,3.0,Robertsonchester,HI,Guam,0.0,0,Low
68,Female,PhD,Single,,642.0,,Personal,Employed,1,Excellent,0.4261908437614189,74448.0,3.0,Juanville,LA,Georgia,1.0,0,Low
59,Non-binary,Master's,Married,133462.68140580395,818.0,13869.0,Home,Employed,0,Fair,0.5836777786637584,166313.0,3.0,East Nathanhaven,MT,Tokelau,1.0,0,Low
34,Male,Master's,Divorced,171908.5378059266,729.0,30563.0,Personal,Self-employed,17,Excellent,0.5852123339250735,66595.0,4.0,New Josephshire,IA,Turkey,1.0,1,Low
41,Female,PhD,Married,115943.57665474855,800.0,7002.0,Personal,Employed,4,Fair,0.2388856505830321,,3.0,Markside,WY,Chile,1.0,2,Low
25,Non-binary,Master's,Married,,791.0,,Personal,Employed,8,Fair,0.4234655897994812,245428.0,,East Derek,VI,Montserrat,,0,Low
45,Male,Master's,Single,58202.27974743777,701.0,34695.0,Home,Employed,4,Excellent,0.454045600356086,,,Mccoyview,VI,Montenegro,2.0,0,Low
23,Female,PhD,Divorced,164212.55944258327,822.0,28263.0,Auto,Employed,14,Excellent,0.3570189499360171,288793.0,,Martinezfurt,NE,Niue,,1,Low
64,Non-binary,Associate's,Divorced,116400.86833981943,730.0,8392.0,Auto,Self-employed,6,Fair,0.5065143393947066,187417.0,4.0,Paulashire,KS,British Virgin Islands,2.0,0,Low
35,Non-binary,PhD,Divorced,39402.84614510929,713.0,26570.0,Home,Unemployed,16,Excellent,0.4026101261716598,111597.0,3.0,West Michael,MO,Rwanda,0.0,0,Low
42,Non-binary,Master's,Widowed,129629.5527715902,,18488.0,Personal,Employed,11,Excellent,0.5551602192369088,53198.0,2.0,Johnsonfurt,WY,Marshall Islands,1.0,2,Low
66,Male,Associate's,Married,94794.31931837168,755.0,,Home,Unemployed,5,Excellent,0.197163506271568,190518.0,4.0,Nathanstad,VI,Hong Kong,2.0,2,Low
48,Male,Associate's,Divorced,127990.37694233365,763.0,,Auto,Employed,10,Excellent,0.1093779547187441,108752.0,3.0,Rodriguezville,CO,Belize,3.0,2,Low
30,Male,Master's,Widowed,115161.82840739473,709.0,,Home,Self-employed,9,Excellent,0.4044119863018232,274820.0,2.0,North Jessicaton,MT,Aruba,4.0,2,Low
46,Female,Master's,Married,67588.94450598668,821.0,12092.0,Auto,Employed,2,Good,0.1208952984550903,105478.0,3.0,Susanmouth,VA,Mauritania,1.0,0,Low
53,Non-binary,Associate's,Single,,662.0,19497.0,Business,Employed,1,Fair,0.5984313360333553,227148.0,1.0,Lyonsshire,MT,Kazakhstan,3.0,1,Low
64,Non-binary,Master's,Divorced,,730.0,26636.0,Business,Employed,16,Good,0.1155114895858494,,0.0,New Justinfurt,MP,Wallis and Futuna,2.0,1,Low
56,Non-binary,Associate's,Widowed,45478.62114276777,,32686.0,Auto,Unemployed,13,Excellent,0.4935664554802701,,2.0,Johnsonburgh,MA,Australia,,2,Low
59,Female,Associate's,Married,52846.986923444296,,39055.0,Personal,Unemployed,8,Excellent,0.1645553032885943,,,New Amy,SD,Nigeria,0.0,2,Low
34,Male,PhD,Married,,686.0,18682.0,Personal,Unemployed,16,Good,0.1209941750475529,175387.0,2.0,Shawmouth,MP,Tanzania,0.0,2,Low
48,Non-binary,Master's,Widowed,162609.19498084087,716.0,15281.0,Auto,Unemployed,16,Excellent,0.167345235491417,296493.0,3.0,East Jason,RI,Mauritania,2.0,0,Low
45,Female,Associate's,Widowed,42147.060919924756,679.0,27982.0,Home,Unemployed,1,Excellent,0.57687193881662,168066.0,2.0,Lake Kelseymouth,PR,Ukraine,3.0,0,Low
68,Female,Associate's,Divorced,23984.336664878298,,,Auto,Unemployed,2,Excellent,0.284444328590592,237983.0,4.0,North Larry,KY,French Southern Territories,3.0,1,Low
43,Male,Master's,Widowed,35960.01422441531,642.0,36736.0,Home,Self-employed,16,Fair,0.4319405298319203,146180.0,3.0,Lake Jillport,FM,Isle of Man,1.0,0,Low
26,Female,PhD,Single,124711.22701694506,667.0,42982.0,Home,Employed,13,Good,0.1053430694893141,228001.0,,South Gavinfort,VT,Saint Lucia,1.0,2,Low
34,Male,Master's,Divorced,106055.39773761401,657.0,,Home,Unemployed,6,Excellent,0.4082958315205991,262852.0,0.0,New Ruth,VA,Norway,3.0,2,Low
62,Female,Associate's,Married,,667.0,7215.0,Auto,Employed,3,Fair,0.4574126728451387,154315.0,1.0,North Kevin,NM,Bahrain,4.0,0,Low
63,Non-binary,PhD,Married,133059.73235698475,737.0,,Business,Unemployed,5,Excellent,0.5544890158459185,68019.0,0.0,Courtneymouth,FL,Germany,,1,Low
35,Non-binary,Associate's,Widowed,108627.79031575046,723.0,24119.0,Auto,Self-employed,16,Excellent,0.3980196299675745,274489.0,0.0,Andrewborough,SC,Spain,2.0,1,Low
39,Female,PhD,Divorced,,781.0,,Business,Unemployed,15,Fair,0.3218956516060565,146107.0,1.0,Jenkinsville,AS,Gibraltar,3.0,0,Low
44,Male,Master's,Divorced,,679.0,,Business,Self-employed,2,Excellent,0.5529159211976751,220671.0,,Baileystad,GU,Serbia,4.0,2,Low
26,Male,Master's,Divorced,148945.60023455616,733.0,43402.0,Auto,Employed,12,Fair,0.2430135223951819,,1.0,Martinberg,NC,Bahrain,4.0,1,Low
25,Male,PhD,Divorced,83714.35444669881,810.0,5785.0,Home,Employed,9,Excellent,0.4393884507074588,274121.0,,Sherryhaven,AR,Armenia,3.0,1,Low
34,Non-binary,PhD,Widowed,42921.66790443363,741.0,18554.0,Auto,Self-employed,12,Excellent,0.5849002472978844,,4.0,Port Rachelport,SC,Albania,3.0,1,Low
54,Male,Associate's,Divorced,163154.53929905442,729.0,31631.0,Personal,Employed,8,Excellent,0.1087489477337949,115543.0,4.0,Lake Helenshire,FM,Anguilla,0.0,2,Low
28,Female,PhD,Married,69700.08025738977,712.0,43661.0,Personal,Employed,13,Good,0.4353832827420133,247277.0,2.0,Kathleenmouth,WY,New Zealand,4.0,2,Low
28,Female,Associate's,Married,175217.17367481114,808.0,38566.0,Home,Self-employed,2,Excellent,0.4084895798330197,75226.0,3.0,Jamesside,TX,Liberia,0.0,1,Low
18,Female,PhD,Widowed,140652.15597422083,655.0,45506.0,Personal,Self-employed,2,Fair,0.3173024981392376,232364.0,4.0,Burnettmouth,FL,Congo,0.0,1,Low
27,Male,PhD,Married,137373.52663418718,746.0,16656.0,Auto,Unemployed,13,Excellent,0.1501363467077661,121449.0,0.0,South Jonathanhaven,DE,Micronesia,3.0,1,Low
31,Female,PhD,Married,98192.89767131346,696.0,42344.0,Home,Unemployed,3,Excellent,0.4859493041931401,173406.0,3.0,Villegasmouth,MP,Saint Helena,1.0,0,Low
59,Male,PhD,Divorced,53379.91632624002,797.0,48703.0,Personal,Employed,18,Good,0.3142909296465564,176305.0,,Huynhshire,CA,Korea,,1,Low
41,Non-binary,PhD,Single,141842.82776890672,639.0,16284.0,Home,Employed,12,Excellent,0.2828966175484545,281924.0,0.0,Brownborough,SC,Kiribati,1.0,1,Low
36,Female,PhD,Divorced,57865.16816198524,682.0,,Business,Unemployed,1,Excellent,0.272761570328896,,4.0,East Joeville,AS,Belgium,3.0,2,Low
64,Non-binary,PhD,Married,146802.7601493916,829.0,11302.0,Auto,Self-employed,15,Excellent,0.4483015409293545,215528.0,,Russellshire,WV,Swaziland,2.0,0,Low
60,Male,Master's,Married,72807.42761333313,779.0,13853.0,Business,Employed,6,Fair,0.2788846557482327,149468.0,0.0,West Michaelberg,AK,New Zealand,1.0,2,Low
49,Female,PhD,Single,136729.98417095025,658.0,,Personal,Self-employed,0,Excellent,0.5441884715291188,152265.0,3.0,East Michele,MP,Saint Martin,4.0,2,Low
64,Non-binary,PhD,Divorced,100052.98573262779,786.0,48903.0,Business,Self-employed,18,Good,0.1396485847163821,69319.0,4.0,West Deborah,MP,Christmas Island,0.0,1,Low
39,Female,PhD,Divorced,79988.85380645578,,12993.0,Home,Self-employed,17,Good,0.1748557920366534,136414.0,3.0,Weaverchester,WY,Pakistan,,1,Low
39,Male,Master's,Single,159740.67319042643,817.0,29990.0,Business,Self-employed,8,Excellent,0.4117412201739114,109842.0,4.0,Davisfort,AS,Andorra,4.0,0,Low
56,Non-binary,Associate's,Widowed,137226.23035364438,647.0,34290.0,Home,Unemployed,3,Good,0.28698599151191,79526.0,3.0,North Anthonyhaven,AL,Taiwan,,0,Low
36,Female,Master's,Single,63457.88936922545,647.0,35934.0,Business,Unemployed,0,Excellent,0.4982175887815928,,3.0,Julieview,VI,Bolivia,0.0,2,Low
45,Male,PhD,Married,32350.357803674917,745.0,45673.0,Personal,Unemployed,11,Excellent,0.4091274855628439,,,Silvaview,AL,Venezuela,2.0,0,Low
29,Female,Master's,Married,108832.51727361187,773.0,32817.0,Personal,Unemployed,11,Excellent,0.4246767803502537,76648.0,2.0,East Brianhaven,AZ,Serbia,,1,Low
42,Male,PhD,Single,167935.5520805624,799.0,39562.0,Personal,Employed,18,Good,0.1665048470816537,240199.0,,Georgeshire,KS,Turkey,0.0,0,Low
43,Non-binary,Master's,Widowed,135582.29904316305,635.0,44035.0,Personal,Unemployed,5,Good,0.3489525389355158,194785.0,,Lake Elizabeth,NE,Madagascar,4.0,2,Low
53,Male,Master's,Divorced,29565.090291930956,671.0,5340.0,Personal,Unemployed,4,Fair,0.4887396732234219,126173.0,1.0,Lake Franciscoport,SD,Bahamas,,1,Low
21,Male,PhD,Single,151770.48507120385,731.0,42411.0,Home,Self-employed,12,Good,0.2101932195079502,,,Lake Johnny,HI,Angola,,0,Low
19,Non-binary,PhD,Divorced,86231.78679945337,749.0,21173.0,Home,Unemployed,8,Excellent,0.5676608629317731,242488.0,2.0,Joshuatown,AL,Serbia,,0,Low
38,Female,PhD,Single,118718.00749930908,784.0,40252.0,Business,Employed,0,Excellent,0.2967281308483902,106637.0,0.0,Sarahhaven,FL,Ghana,2.0,0,Low
43,Male,PhD,Single,86112.06227888336,797.0,38755.0,Home,Unemployed,13,Good,0.1385857588058279,194063.0,3.0,Ashleychester,OK,Bhutan,1.0,1,Low
69,Non-binary,PhD,Married,113152.05513418527,,20349.0,Personal,Self-employed,16,Good,0.1081625988340504,216630.0,0.0,Humphreyview,MH,Barbados,0.0,0,Low
31,Male,Associate's,Widowed,102458.54918418199,714.0,35465.0,Auto,Self-employed,16,Good,0.5910137060280917,297612.0,1.0,Mcguirestad,MS,Wallis and Futuna,1.0,2,Low
41,Female,Associate's,Married,70529.93387949679,832.0,40354.0,Business,Employed,2,Fair,0.2697879184621511,160676.0,1.0,South Meganfort,WY,Haiti,3.0,2,Low
38,Male,Master's,Divorced,55971.24690782652,,41320.0,Personal,Unemployed,2,Fair,0.5361111346026489,70812.0,1.0,Jamestown,ID,Northern Mariana Islands,3.0,1,Low
20,Male,Associate's,Single,87020.51761615637,775.0,38122.0,Auto,Unemployed,5,Fair,0.5131255675005517,37388.0,2.0,Port Kristina,KY,Iraq,,1,Low
41,Non-binary,PhD,Married,74348.72238717908,817.0,7989.0,Business,Unemployed,11,Excellent,0.2393660898778377,129977.0,,East Andresmouth,NJ,Korea,2.0,0,Low
50,Male,PhD,Widowed,30226.930175907433,793.0,14708.0,Business,Employed,7,Excellent,0.568656344699205,43175.0,2.0,South Michaelbury,SD,Namibia,2.0,1,Low
18,Male,Master's,Married,80390.5120273841,653.0,7489.0,Auto,Unemployed,3,Good,0.3243939795102257,138398.0,2.0,Cameronland,VA,Christmas Island,,0,Low
33,Non-binary,PhD,Widowed,136034.45296646774,710.0,12402.0,Business,Employed,2,Good,0.2934519855955118,88620.0,1.0,Joshuaton,GU,Poland,,0,Low
40,Male,Master's,Widowed,30734.10296229074,704.0,37928.0,Business,Employed,16,Excellent,0.5485185313617404,287466.0,1.0,Lake Angelashire,IA,South Africa,0.0,2,Low
64,Male,PhD,Widowed,132960.85850567417,684.0,,Auto,Self-employed,12,Good,0.3833819449253425,283375.0,1.0,Lake Susan,ID,Uganda,,0,Low
57,Male,Master's,Married,133062.8764955091,643.0,35214.0,Business,Self-employed,2,Excellent,0.1051025125744329,83968.0,0.0,North Elizabethport,MT,Oman,0.0,2,Low
21,Female,Master's,Married,,637.0,6243.0,Personal,Self-employed,11,Good,0.4770543505752166,196619.0,4.0,Sherryport,PW,Northern Mariana Islands,2.0,1,Low
47,Non-binary,Associate's,Single,,655.0,32855.0,Business,Employed,13,Excellent,0.1655529896870022,216226.0,2.0,Bartonhaven,WA,Palestinian Territory,1.0,1,Low
47,Female,PhD,Married,101046.68431410773,655.0,5741.0,Business,Unemployed,13,Excellent,0.3873766517072565,163358.0,2.0,Markland,UT,Malawi,,2,Low
33,Male,PhD,Married,,794.0,15750.0,Personal,Self-employed,3,Excellent,0.3982683937096675,,0.0,Judyberg,CA,Malta,,0,Low
43,Male,Master's,Married,133795.28430432783,712.0,43640.0,Business,Employed,4,Excellent,0.556176885430204,98873.0,0.0,Lake Caitlin,MO,South Africa,3.0,1,Low
43,Female,Master's,Divorced,115042.00749750604,698.0,,Personal,Self-employed,1,Excellent,0.4291204631518703,167569.0,1.0,New Jenniferstad,MT,Turks and Caicos Islands,4.0,2,Low
22,Female,Associate's,Widowed,104198.366086115,667.0,31185.0,Auto,Self-employed,15,Excellent,0.3517474821966063,,,Lake Kathrynland,NM,Lithuania,,1,Low
51,Non-binary,PhD,Widowed,131214.80771625464,656.0,40806.0,Personal,Unemployed,11,Excellent,0.2180817953677724,191862.0,2.0,North Monique,IA,Yemen,,2,Low
69,Male,PhD,Divorced,,720.0,42601.0,Home,Self-employed,13,Excellent,0.4736259402009637,241321.0,3.0,Zacharymouth,MP,Cote d'Ivoire,0.0,1,Low
37,Male,PhD,Single,51417.042730351845,,10925.0,Auto,Unemployed,13,Fair,0.193357519492741,270245.0,3.0,Valentineville,CT,Egypt,0.0,2,Low
20,Male,PhD,Single,145958.54254020294,817.0,20627.0,Personal,Unemployed,4,Fair,0.125001698691483,187132.0,,Samanthabury,MS,Puerto Rico,2.0,0,Low
33,Female,PhD,Single,30859.00560536985,703.0,32826.0,Home,Unemployed,15,Good,0.5205638040526717,157830.0,2.0,Angelashire,KY,Montenegro,3.0,1,Low
25,Non-binary,Associate's,Widowed,55767.50942596635,640.0,16292.0,Business,Self-employed,11,Good,0.5781772056994499,102529.0,4.0,South Jeffrey,KY,Argentina,,0,Low
50,Non-binary,Master's,Widowed,46528.30519458372,807.0,6526.0,Home,Employed,11,Excellent,0.4010382553187833,71650.0,3.0,Garciachester,MS,Samoa,1.0,2,Low
53,Male,PhD,Widowed,154518.97479594412,684.0,19008.0,Business,Unemployed,13,Excellent,0.3484307626867048,113344.0,2.0,New Scottburgh,KY,Dominica,4.0,1,Low
49,Male,Master's,Married,80834.61867636655,656.0,36682.0,Personal,Self-employed,8,Excellent,0.2877630627696196,,3.0,West Alexander,CT,Burundi,2.0,2,Low
50,Non-binary,Associate's,Widowed,101579.49312188278,,,Home,Employed,10,Excellent,0.5925059132309906,251874.0,2.0,Bethanyland,AR,Kenya,1.0,1,Low
26,Non-binary,Associate's,Single,62053.40345786592,647.0,42293.0,Personal,Self-employed,7,Excellent,0.3547304261924595,137565.0,1.0,Thompsonborough,VA,Dominican Republic,2.0,0,Low
60,Male,PhD,Single,138641.62468903087,764.0,13175.0,Home,Unemployed,15,Fair,0.4490280577364806,258169.0,,Erikfurt,AR,Denmark,4.0,0,Low
19,Female,PhD,Single,134585.09191441533,702.0,39218.0,Auto,Self-employed,1,Excellent,0.4402303367523026,285565.0,3.0,Phillipsville,AL,Montserrat,4.0,0,Low
20,Female,Associate's,Widowed,49849.95000789542,666.0,20297.0,Auto,Employed,14,Excellent,0.5155305014977349,265360.0,4.0,Cookeview,ID,Cocos (Keeling) Islands,3.0,1,Low
61,Female,PhD,Widowed,123177.66202100365,,10632.0,Auto,Self-employed,16,Excellent,0.4550086551306231,123551.0,3.0,Martineztown,NY,Gibraltar,0.0,0,Low
36,Female,Master's,Divorced,107663.50231148496,765.0,39825.0,Home,Unemployed,8,Good,0.2666754603457818,114379.0,1.0,Baileyburgh,NY,Western Sahara,3.0,2,Low
